Date,Time,Exercise,# of Reps,Weight,Notes
"2/18/20","15:49","Laying Leg Lift And Hold","10","0"
"2/18/20","15:49","Laying Heel Touches","10","0",""
"2/18/20","15:49","Laying Heel Touches","10","0"
"2/18/20","15:49","Laying Heel Touches","10","0"
"2/18/20","15:49","Plank","10","0",""
"2/18/20","15:49","Plank","10","0"
"2/18/20","15:49","Plank","10","0"
"2/18/20","15:49","Superman","10","0",""
"2/18/20","15:49","Superman","10","0"
"2/18/20","15:49","Superman","10","0"
"2/18/20","15:49","Cobra","10","0",""
"2/18/20","15:49","Cobra","10","0"
"2/18/20","15:49","Cobra","10","0"
"2/17/20","23:05","Standing Crunch","10","0",""
"2/17/20","23:04","Standing Side Bend","10","0",""
"2/17/20","23:04","Standing Crunch","10","0",""
"2/17/20","23:04","Laying Elbow-back Lifts","10","0",""
"2/17/20","23:04","Laying Elbow-back Lifts","10","0"
